Left Hand Side,Right Hand Side,Support,Confidence,Lift,Total_Items,Support_Confidence_Score
Blueberry on the Bottom Nonfat Greek Yogurt,Strawberry on the Bottom Nonfat Greek Yogurt,0.001145413870246085,0.4806866952789699,167.41637016116394,2,6.306479340130338e-07
Peach on the Bottom Nonfat Greek Yogurt,Strawberry on the Bottom Nonfat Greek Yogurt,0.0011070629594119527,0.3904418394950406,135.9853646237736,2,4.78520987837822e-07
Blueberry Yoghurt,Raspberry Yoghurt,0.0010329178651326302,0.33499170812603646,128.45454102038823,2,3.574091241364019e-07
Kiwi Sandia Sparkling Water,Curate Melon Pomelo Sparking Water,0.0010175775007989774,0.2844889206576126,108.55680887044754,2,2.9457802724278243e-07
Kiwi Sandia Sparkling Water,Blackberry Cucumber Sparkling Water,0.0013678491530840524,0.38241601143674053,91.8185773316115,2,7.155046808378315e-07
Fat Free Blueberry Yogurt,Total 0% Raspberry Yogurt,0.0011019495046340683,0.4128352490421455,91.27766352832627,2,5.013028336580159e-07
Fat Free Strawberry Yogurt,Total 0% Raspberry Yogurt,0.0011837647810802173,0.3345375722543352,73.96608702542503,2,4.687871845062784e-07
Lemon Sparkling Water,Grapefruit Sparkling Water,0.0013013742409715564,0.36804049168474334,71.65248248391998,2,6.233041444452104e-07
Icelandic Style Skyr Blueberry Non-fat Yogurt,Non Fat Raspberry Yogurt,0.0027612655800575265,0.39430449069003287,67.58209637210302,2,3.0064091317631482e-06
Non Fat Acai & Mixed Berries Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,0.001562160434643656,0.4696387394312067,67.06369184374981,2,1.146080654572529e-06
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt && Total 2% Lowfat Greek Strained Yogurt with Peach,0.0016388622563119207,0.21190082644628097,66.83847640629165,3,5.691379657520646e-07
Nonfat Icelandic Style Strawberry Yogurt,Non Fat Raspberry Yogurt,0.0014164269734739533,0.3815426997245179,65.39478020585103,2,7.654759060855778e-07
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt && Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.0010559284116331096,0.1365289256198347,65.0424799428232,3,1.5222767825918377e-07
Non Fat Acai & Mixed Berries Yogurt,Non Fat Raspberry Yogurt,0.0012527964205816555,0.3766333589546502,64.55334028095423,2,5.91125631819279e-07
Nonfat Icelandic Style Strawberry Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,0.0016363055289229786,0.44077134986225897,62.941472878742616,2,1.1801634309570948e-06
Vanilla Skyr Nonfat Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt && Non Fat Raspberry Yogurt,0.001112176414189837,0.173099880620772,62.6886025998143,3,2.141135390695867e-07
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt && Total 2% All Natural Greek Strained Yogurt with Honey,0.0011709811441355065,0.15140495867768594,59.75606908457105,3,2.0760600088719736e-07
Vanilla Skyr Nonfat Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,0.002487695749440716,0.38718662952646243,55.28965698194144,2,2.3961548459837644e-06
Nonfat Icelandic Style Strawberry Yogurt,Vanilla Skyr Nonfat Yogurt,0.0013141578779162673,0.35399449035812675,55.095939133037135,2,6.113523533319181e-07
Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt with Peach && Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.001061041866410994,0.1008750607681089,52.11989186648163,3,1.1356613625301997e-07
Vanilla Skyr Nonfat Yogurt,Non Fat Raspberry Yogurt,0.001840843720038351,0.28651014723438123,49.1066088242977,2,9.708985408497162e-07
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Lowfat Greek Strained Yogurt with Peach,0.0026232023010546502,0.33917355371900826,46.222737351340456,2,2.3339177720254977e-06
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.003638223074464685,0.47041322314049583,44.72298782227186,2,6.226703252761725e-06
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.0020811760945989135,0.2690909090909091,43.68957319144119,2,1.1655118229746143e-06
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt && Banana,0.0010661553211888783,0.13785123966942148,43.55174968958197,3,1.5669373534910188e-07
Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.0019354426334292107,0.2637630662020906,42.82454515080643,2,9.880401420845354e-07
Sparkling Water Berry,Sparkling Water Grapefruit && Sparkling Lemon Water,0.0010482582294662833,0.16714227476559315,42.699883878310004,3,1.8366350567221877e-07
