Left Hand Side,Right Hand Side,Support,Confidence,Lift,Total_Items,Support_Confidence_Score
Fat Free Strawberry Yogurt,Total 0% Raspberry Yogurt,0.0010117568709817884,0.31549520766773165,81.08787625119099,2,3.2295728958598193e-07
Non Fat Acai & Mixed Berries Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,0.001265336441177224,0.4507299270072993,74.65823962788278,2,7.216530080559261e-07
Icelandic Style Skyr Blueberry Non-fat Yogurt,Non Fat Raspberry Yogurt,0.0022540406239594272,0.3733559609673313,73.57995998044211,2,1.8969093077319794e-06
Non Fat Acai & Mixed Berries Yogurt,Non Fat Raspberry Yogurt,0.0010296867395814657,0.36678832116788324,72.28562769669526,2,3.8888907137892654e-07
Nonfat Icelandic Style Strawberry Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,0.001411336799774596,0.43046875,71.3022081830717,2,8.574384616260132e-07
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt && Total 2% Lowfat Greek Strained Yogurt with Peach,0.0011526344099792526,0.17850059500198334,71.03814199258339,3,2.3714983632713166e-07
Nonfat Icelandic Style Strawberry Yogurt,Non Fat Raspberry Yogurt,0.001165441458979022,0.35546875,70.05479792402828,2,4.828167784451202e-07
Nonfat Icelandic Style Strawberry Yogurt,Vanilla Skyr Nonfat Yogurt,0.0011808099177787455,0.36015625,62.52049869386394,2,5.021702035525489e-07
Vanilla Skyr Nonfat Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,0.0021285315437616866,0.3694975544686528,61.20302937637112,2,1.674062814027235e-06
Vanilla Skyr Nonfat Yogurt,Non Fat Raspberry Yogurt,0.0015701442073717375,0.2725655847043131,53.71647144089393,2,6.719703361409839e-07
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Lowfat Greek Strained Yogurt with Peach,0.001944110038165006,0.3010710035700119,49.05723309840081,2,1.1379170785144392e-06
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.0028508491073486845,0.44149147163823876,46.90141100470334,2,3.588151576511381e-06
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.001652109320970262,0.2558508528361761,45.01429988993759,2,6.983360013652316e-07
Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt with Peach,0.0025127430137547708,0.26693877551020406,43.495645804231536,2,1.6854187160715954e-06
Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.0014933019133731207,0.24332220367278798,42.810014211758975,2,5.425964951644695e-07
Soda,Zero Calorie Cola,0.0012781434901769934,0.11423992673992674,42.72069904074215,2,1.8662814559510787e-07
Clementines,Apples,0.0012960733587766707,0.12977686586304182,32.77243609417216,2,2.1799997757714908e-07
Sparkling Lemon Water,Sparkling Water Grapefruit && Lime Sparkling Water,0.0013421787351758409,0.1317907444668008,31.70204839635472,3,2.3741361387095253e-07
Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.0016854076483696627,0.17904761904761904,31.501568703191055,2,5.08602477087996e-07
Sparkling Water Berry,Peach Pear Flavored Sparkling Water,0.0010245639199815578,0.187178287318671,27.680407254576647,2,1.964868930515631e-07
Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.0017648113521682334,0.24406659582004958,25.928174060981103,2,7.601598391509554e-07
Mango Chunks,Pineapple Chunks,0.001042493788581235,0.19099014547160956,24.821725264171466,2,2.0756681031759542e-07
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% All Natural Greek Strained Yogurt with Honey,0.0011270203119797136,0.17453391511305036,24.137366560143814,2,2.2168857786217154e-07
Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% Lowfat Greek Strained Yogurt with Peach,0.001068107886580774,0.14771519659936239,24.069069242219143,2,1.6852154046256178e-07
Frozen Organic Wild Blueberries,Organic Whole Strawberries,0.0021234087241617785,0.22925884955752213,23.887095664732374,2,1.0336971132640004e-06
Yellow Bell Pepper,Orange Bell Pepper,0.0021771983299608104,0.28099173553719003,23.256727468957887,2,1.3319549364583538e-06
Sparkling Water Berry,Sparkling Lemon Water,0.001165441458979022,0.2129153018249883,20.906504775023564,2,2.8919301656984273e-07
Sparkling Lemon Water,Lime Sparkling Water,0.002597269537153249,0.25503018108651915,17.656735768396516,2,1.7203849032457226e-06
Sparkling Water Berry,Lime Sparkling Water,0.0012807048999769473,0.2339728591483388,16.19885510553342,2,3.837634629913342e-07
Sparkling Water Berry,Sparkling Water Grapefruit,0.0018877590225660204,0.3448759943846514,14.47463308618703,2,1.229011863268568e-06
Blackberries,Raspberries,0.0018314080069670347,0.24973803702410058,13.96451260879105,2,8.376351836911703e-07
Organic Yellow Squash,Organic Zucchini,0.0015906354857713686,0.45130813953488375,13.676566852116276,2,1.1418643135011397e-06
Organic Bell Pepper,Organic Red Bell Pepper,0.0017904254501677724,0.24414949353824658,13.616914824609552,2,7.826513033647645e-07
Peach Pear Flavored Sparkling Water,Sparkling Water Grapefruit,0.0021439000025614097,0.3170454545454545,13.306570190183928,2,1.4572383121070506e-06
Peach Pear Flavored Sparkling Water,Lime Sparkling Water,0.001283266309776901,0.18977272727272726,13.138707298199229,2,3.125124936840989e-07
Pure Sparkling Water,Sparkling Lemon Water,0.0012064240157782843,0.13331446362864421,13.090367139149645,2,1.9403372336647312e-07
Lime Sparkling Water,Sparkling Water Grapefruit,0.004157168105325171,0.2878169888278063,12.079835584633829,2,4.974066629292258e-06
