Left Hand Side,Right Hand Side,Support,Confidence,Lift,Total_Items,Support_Confidence_Score
Kiwi Sandia Sparkling Water,Blackberry Cucumber Sparkling Water,0.001159074684836591,0.38324873096446704,102.94482355609051,2,5.148770885263591e-07
Fat Free Strawberry Yogurt,Total 0% Raspberry Yogurt,0.0010183481778476009,0.33249791144527985,85.04569779597334,2,3.448113103655476e-07
Non Fat Acai & Mixed Berries Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,0.0013228291656965066,0.47171532846715325,78.2845138469168,2,8.254438045950294e-07
Lemon Sparkling Water,Grapefruit Sparkling Water,0.0013612091221480494,0.4140077821011673,77.97891444376728,2,7.671109929062581e-07
Nonfat Icelandic Style Strawberry Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,0.00148146631902955,0.4628297362110312,76.8098866130026,2,1.0157920712298805e-06
Icelandic Style Skyr Blueberry Non-fat Yogurt,Non Fat Raspberry Yogurt,0.0023846746275225225,0.39575371549893845,75.93128565279069,2,2.2505219999012754e-06
Nonfat Icelandic Style Strawberry Yogurt,Non Fat Raspberry Yogurt,0.0012255999426859317,0.3828936850519584,73.46389594264697,2,5.751427738977879e-07
Non Fat Acai & Mixed Berries Yogurt,Non Fat Raspberry Yogurt,0.0010592867980625798,0.3777372262773723,72.47455199251799,2,4.2385460539011357e-07
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt && Total 2% Lowfat Greek Strained Yogurt with Peach,0.0013023598555890173,0.19501915708812262,70.90152757729662,3,3.307800258490313e-07
Nonfat Icelandic Style Strawberry Yogurt,Vanilla Skyr Nonfat Yogurt,0.0012153652876321869,0.3796962430055955,67.42221851778005,2,5.608541739657094e-07
Vanilla Skyr Nonfat Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,0.0021057802773079785,0.37392094502498857,62.05484034954194,2,1.6580816012241233e-06
Vanilla Skyr Nonfat Yogurt,Non Fat Raspberry Yogurt,0.0016708074375238276,0.2966833257610177,56.92314556890172,2,8.28220428493896e-07
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Lowfat Greek Strained Yogurt with Peach,0.002139042906232649,0.3203065134099617,50.55939997152743,2,1.4655639110087073e-06
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.003116452463865271,0.4666666666666667,48.097802390998595,2,4.532395447781562e-06
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.001734774031609732,0.2597701149425287,45.77353212483028,2,7.817628190907257e-07
Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.00162219282601854,0.2560581583198707,45.11945624796969,2,6.738194927602321e-07
Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt with Peach,0.002750563545693897,0.2834915611814346,44.74827276453106,2,2.1447837039339915e-06
Sparkling Water Berry,Sparkling Water Grapefruit && Lime Sparkling Water,0.0010388174879550904,0.17713787085514837,36.07640277667888,3,1.9115687606990306e-07
Soda,Zero Calorie Cola,0.001706628730211934,0.12434750186428038,35.8396827478723,2,3.621722487691015e-07
Peach Pear Flavored Sparkling Water,Sparkling Water Grapefruit && Lime Sparkling Water,0.0012230412789224956,0.17534849596478358,35.711973595320686,3,2.622915354494947e-07
Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.001832003254620307,0.18881856540084388,33.27131248739694,2,6.337196524938314e-07
Sparkling Lemon Water,Sparkling Water Grapefruit && Lime Sparkling Water,0.0017552433417172217,0.16267488736068295,33.13083040765417,3,5.011816749843137e-07
Sparkling Water Berry,Peach Pear Flavored Sparkling Water,0.001327946493223379,0.22643979057591623,32.464870473585755,2,3.9931341200722343e-07
Organic Raw Kombucha Gingerade,Trilogy Kombucha Drink,0.001020906841611037,0.1608222490931076,31.379929501153345,2,1.676171144377432e-07
Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% Lowfat Greek Strained Yogurt with Peach,0.0014328517075242624,0.1943095072866065,30.67115929859335,2,3.989298573292536e-07
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% All Natural Greek Strained Yogurt with Honey,0.0014789076552661137,0.221455938697318,30.031715150983377,2,4.843613099314654e-07
Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.002082752303437053,0.282442748091603,29.110447466743967,2,1.2251962963853202e-06
Clementines,Apples,0.0015914888608573059,0.13399396811719086,28.507745544514744,2,3.393848526524891e-07
Mango Chunks,Pineapple Chunks,0.001020906841611037,0.1975247524752475,27.153852087635777,2,2.0587032718813904e-07
Yellow Bell Pepper,Orange Bell Pepper,0.0019522604515018077,0.2833271444485704,26.42148998751857,2,1.0798506588154496e-06
Frozen Organic Wild Blueberries,Organic Whole Strawberries,0.0019343498051577544,0.22439893143365985,24.60073211031861,2,8.39635539194914e-07
Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.0010285828329013457,0.13948646773074255,24.578609872289622,2,1.4757426195143017e-07
Sparkling Water Berry,Sparkling Lemon Water,0.0014379690350511348,0.24520069808027922,22.72505184491758,2,5.070149561607465e-07
Trail Mix,Clementines,0.0011616333486000271,0.23390005151983512,19.693003712935294,2,3.156228668764499e-07
Sparkling Lemon Water,Lime Sparkling Water,0.003185536385478048,0.2952335783732511,19.683699113278635,2,2.995924678370799e-06
Clementines,0% Greek Strained Yogurt,0.0011974546412881336,0.1008186126669539,19.155487394269773,2,1.4456356854741203e-07
Sparkling Lemon Water,Peach Pear Flavored Sparkling Water,0.0013714437772017942,0.1271045767133033,18.223094135100375,2,2.3906566427263013e-07
Sparkling Water Berry,Lime Sparkling Water,0.001553108904405763,0.26483420593368234,17.656923894721107,2,6.388191065660092e-07
Peach Pear Flavored Sparkling Water,Lime Sparkling Water,0.0017680366605344025,0.2534849596478357,16.900251329615145,2,7.923822305203988e-07
Sparkling Water Berry,Sparkling Water Grapefruit,0.0022465067842969686,0.3830715532286213,15.889988545615457,2,1.933282730628903e-06
Packaged Grape Tomatoes,Hass Avocados,0.0011386053747291015,0.25312855517633676,15.818672863929088,2,3.281614782230313e-07
0% Greek Strained Yogurt,Soda,0.0011360467109656654,0.21584832280019448,15.727029111050934,2,2.785743050540507e-07
