Left Hand Side,Right Hand Side,Support,Confidence,Lift,Total_Items,Support_Confidence_Score
Yotoddler Organic Pear Spinach Mango Yogurt,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,0.0010122393612101656,0.4882280049566295,219.44101124399378,2,5.002523402812474e-07
Non Fat Acai & Mixed Berries Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,0.00102251590294834,0.4132917964693666,72.52842456742577,2,4.3211259726826483e-07
Icelandic Style Skyr Blueberry Non-fat Yogurt,Non Fat Raspberry Yogurt,0.0018934528152586092,0.3322813345356177,68.14323368245822,2,1.1912829334450518e-06
Nonfat Icelandic Style Strawberry Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,0.0012717220400990659,0.3813559322033898,66.92401155415628,2,6.167581578586259e-07
Nonfat Icelandic Style Strawberry Yogurt,Non Fat Raspberry Yogurt,0.0010250850383828835,0.3073959938366718,63.03982458219746,2,3.2301150618694815e-07
Nonfat Icelandic Style Strawberry Yogurt,Vanilla Skyr Nonfat Yogurt,0.0010071010903410784,0.3020030816640986,55.162117078651846,2,3.063074126480324e-07
Vanilla Skyr Nonfat Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,0.001562034344202489,0.2853120600656968,50.0693079403659,2,6.961475297140329e-07
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.00244838606912002,0.41362847222222227,47.56250871902183,2,2.479534899877742e-06
Vanilla Skyr Nonfat Yogurt,Non Fat Raspberry Yogurt,0.0012100627896700202,0.22102299389957764,45.32671551817492,2,3.2363335090503043e-07
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Lowfat Greek Strained Yogurt with Peach,0.0015723108859406632,0.265625,45.03084168118467,2,6.566679042938707e-07
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.0014541306559516592,0.24565972222222224,43.68186735444901,2,5.194464912983403e-07
Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt with Peach,0.002065584889373028,0.23751846381093053,40.26600033968265,2,1.0134060005630049e-06
Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.001289705988140871,0.21864111498257843,38.877566483032844,2,3.636748479942958e-07
Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.0014104553535644185,0.1621861152141802,28.839047392191247,2,3.226505119984615e-07
Mango Chunks,Pineapple Chunks,0.0013282430196590244,0.19233630952380953,20.55579785112837,2,3.3932539488991873e-07
Frozen Organic Wild Blueberries,Organic Whole Strawberries,0.002317360161958298,0.22454568085636048,20.444739797381597,2,1.2058458114136704e-06
Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.0010559146635974062,0.16354954237962593,18.806313051012133,2,1.8235050706916419e-07
Yellow Bell Pepper,Orange Bell Pepper,0.002892846499296057,0.2823470411233701,18.156225491276405,2,2.362838399678817e-06
Blackberries,Raspberries,0.0016853528450605803,0.24596925384326962,13.14930483298158,2,6.986545644184807e-07
Limes && Jalapeno Peppers,Bunched Cilantro,0.001104728236853734,0.23280996210070387,12.822699647407608,3,2.841269763074406e-07
Sparkling Lemon Water,Lime Sparkling Water,0.0014978059583388998,0.16738443870226816,12.26045340284457,2,3.75514047542665e-07
Organic Yellow Squash,Organic Zucchini,0.0018497775128713686,0.4855023600809171,12.040458530006743,2,1.6612321847132178e-06
Organic Bell Pepper,Organic Red Bell Pepper,0.0021298132752366173,0.2520522955305564,11.577510892510226,2,1.1433355740143362e-06
Limes && Organic Red Onion,Organic Cilantro,0.0011792331644554974,0.27159763313609464,10.209133397523992,3,3.776811851915043e-07
Pineapple Chunks,Organic Whole Strawberries,0.00102251590294834,0.10928061504667766,9.949929702528333,2,1.142571200355132e-07
